userid	genesymbol	genename	entrezgene
FLJ16779	FLJ16779	uncharacterized LOC100192386	100192386
GPC6	GPC6	glypican 6	10082
EDIL3	EDIL3	EGF like repeats and discoidin domains 3	10085
CDH11	CDH11	cadherin 11	1009
CDR1	CDR1	cerebellar degeneration related protein 1	1038
POSTN	POSTN	periostin	10631
CORIN	CORIN	corin, serine peptidase	10699
EMILIN1	EMILIN1	elastin microfibril interfacer 1	11117
CSMD2	CSMD2	CUB and Sushi multiple domains 2	114784
ELFN2	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2	114794
C1QTNF7	C1QTNF7	C1q and tumor necrosis factor related protein 7	114905
ALPK2	ALPK2	alpha kinase 2	115701
TWIST2	TWIST2	twist family bHLH transcription factor 2	117581
FAT3	FAT3	FAT atypical cadherin 3	120114
CNTN1	CNTN1	contactin 1	1272
NKAIN4	NKAIN4	Sodium/potassium transporting ATPase interacting 4	128414
COL5A1	COL5A1	collagen type V alpha 1 chain	1289
COL5A2	COL5A2	collagen type V alpha 2 chain	1290
COL8A1	COL8A1	collagen type VIII alpha 1 chain	1295
COL10A1	COL10A1	collagen type X alpha 1 chain	1300
COL11A1	COL11A1	collagen type XI alpha 1 chain	1301
COMP	COMP	cartilage oligomeric matrix protein	1311
LRRC15	LRRC15	leucine rich repeat containing 15	131578
ISM1	ISM1	isthmin 1	140862
LRFN5	LRFN5	leucine rich repeat and fibronectin type III domain containing 5	145581
VCAN	VCAN	versican	1462
DACT3	DACT3	dishevelled binding antagonist of beta catenin 3	147906
IGFL2	IGFL2	IGF like family member 2	147920
SAMD11	SAMD11	sterile alpha motif domain containing 11	148398
GLIS1	GLIS1	GLIS family zinc finger 1	148979
CNTN4	CNTN4	contactin 4	152330
KANK4	KANK4	KN motif and ankyrin repeat domains 4	163782
APCDD1L	APCDD1L	APC down-regulated 1 like	164284
AEBP1	AEBP1	AE binding protein 1	165
LIX1	LIX1	limb and CNS expressed 1	167410
ADAMTS16	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	170690
EPYC	EPYC	epiphycan	1833
CYS1	CYS1	cystin 1	192668
EFNA2	EFNA2	ephrin A2	1943
NRK	NRK	Nik related kinase	203447
EYA4	EYA4	EYA transcriptional coactivator and phosphatase 4	2070
FAP	FAP	fibroblast activation protein alpha	2191
FBN1	FBN1	fibrillin 1	2200
DOK6	DOK6	docking protein 6	220164
ITGA11	ITGA11	integrin subunit alpha 11	22801
HECW1	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	23072
FLNC	FLNC	filamin C	2318
FAM189A1	FAM189A1	family with sequence similarity 189 member A1	23359
FLRT2	FLRT2	fibronectin leucine rich transmembrane protein 2	23768
TMEM59L	TMEM59L	transmembrane protein 59 like	25789
FAM19A5	FAM19A5	family with sequence similarity 19 member A5, C-C motif chemokine like	25817
NALCN	NALCN	sodium leak channel, non-selective	259232
ZNF521	ZNF521	zinc finger protein 521	25925
GREM1	GREM1	gremlin 1, DAN family BMP antagonist	26585
CSDC2	CSDC2	cold shock domain containing C2	27254
GPR1	GPR1	G protein-coupled receptor 1	2825
P4HA3	P4HA3	prolyl 4-hydroxylase subunit alpha 3	283208
SSC5D	SSC5D	scavenger receptor cysteine rich family member with 5 domains	284297
GRP	GRP	gastrin releasing peptide	2922
PURG	PURG	purine rich element binding protein G	29942
PDZRN4	PDZRN4	PDZ domain containing ring finger 4	29951
CYP27C1	CYP27C1	cytochrome P450 family 27 subfamily C member 1	339761
ARSI	ARSI	arylsulfatase family member I	340075
IL11	IL11	interleukin 11	3589
INHBA	INHBA	inhibin beta A subunit	3624
KCNA1	KCNA1	potassium voltage-gated channel subfamily A member 1	3736
FIBIN	FIBIN	fin bud initiation factor homolog (zebrafish)	387758
SHISA2	SHISA2	shisa family member 2	387914
FAM180A	FAM180A	family with sequence similarity 180 member A	389558
GDF6	GDF6	growth differentiation factor 6	392255
IGLON5	IGLON5	IgLON family member 5	402665
LSAMP	LSAMP	limbic system-associated membrane protein	4045
MATN3	MATN3	matrilin 3	4148
