geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0051216	cartilage development	http://amigo.geneontology.org/amigo/term/GO:0051216	92	7	0.846766169154229	8.26674500587544	1.53774197908518e-05	0.0520617954949778	579;1300;1301;1311;6423;9241;81792	COL10A1;COL11A1;COMP;NKX3-2;SFRP2;ADAMTS12;NOG
GO:0048705	skeletal system morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048705	99	7	0.911194029850746	7.68222768222768	2.49468240410833e-05	0.0520617954949778	579;1300;1301;1311;6423;6664;9241	COL10A1;COL11A1;COMP;NKX3-2;SFRP2;SOX11;NOG
GO:0030574	collagen catabolic process	http://amigo.geneontology.org/amigo/term/GO:0030574	42	5	0.386567164179105	12.9343629343629	3.32016503191701e-05	0.0520617954949778	1295;1300;1301;2191;9509	COL8A1;COL10A1;COL11A1;FAP;ADAMTS2
GO:0044243	multicellular organismal catabolic process	http://amigo.geneontology.org/amigo/term/GO:0044243	45	5	0.414179104477612	12.0720720720721	4.67409834685739e-05	0.0520617954949778	1295;1300;1301;2191;9509	COL8A1;COL10A1;COL11A1;FAP;ADAMTS2
GO:0061448	connective tissue development	http://amigo.geneontology.org/amigo/term/GO:0061448	110	7	1.01243781094527	6.91400491400491	4.95732198581011e-05	0.0520617954949778	579;1300;1301;1311;6423;9241;81792	COL10A1;COL11A1;COMP;NKX3-2;SFRP2;ADAMTS12;NOG
GO:0007275	multicellular organism development	http://amigo.geneontology.org/amigo/term/GO:0007275	1630	27	15.0024875621891	1.79970154203283	6.06676786378824e-05	0.05309433008792	579;1272;1295;1300;1301;1311;1833;2191;3624;4958;4969;5592;5789;5798;6423;6664;8128;9241;9509;50863;50944;55083;80114;81792;84620;120114;170690	FAT3;CNTN1;COL8A1;COL10A1;COL11A1;COMP;ADAMTS16;EPYC;FAP;INHBA;OMD;OGN;NTM;SHANK1;KIF26B;PRKG1;PTPRD;NKX3-2;PTPRN;SFRP2;SOX11;BICC1;ST8SIA2;ADAMTS12;ST6GAL2;NOG;ADAMTS2
GO:0001706	endoderm formation	http://amigo.geneontology.org/amigo/term/GO:0001706	28	4	0.25771144278607	15.5212355212355	0.000106250932008445	0.0747882684515557	1295;1301;3624;9241	COL8A1;COL11A1;INHBA;NOG
GO:0001704	formation of primary germ layer	http://amigo.geneontology.org/amigo/term/GO:0001704	54	5	0.497014925373134	10.0600600600601	0.00011394137261711	0.0747882684515557	1295;1301;3624;6423;9241	COL8A1;COL11A1;INHBA;SFRP2;NOG
GO:0030182	neuron differentiation	http://amigo.geneontology.org/amigo/term/GO:0030182	460	13	4.23383084577114	3.07050528789659	0.000129701402429738	0.075673562684284	1272;1833;3624;4958;4969;5592;5789;6423;6664;9241;50863;50944;55083	CNTN1;EPYC;INHBA;OMD;OGN;NTM;SHANK1;KIF26B;PRKG1;PTPRD;SFRP2;SOX11;NOG
GO:0048731	system development	http://amigo.geneontology.org/amigo/term/GO:0048731	1494	25	13.7507462686567	1.81808314338435	0.000159497710378376	0.0767328314962429	579;1272;1295;1300;1301;1311;1833;2191;3624;4958;4969;5592;5789;5798;6423;6664;8128;9241;9509;50863;50944;55083;80114;81792;170690	CNTN1;COL8A1;COL10A1;COL11A1;COMP;ADAMTS16;EPYC;FAP;INHBA;OMD;OGN;NTM;SHANK1;KIF26B;PRKG1;PTPRD;NKX3-2;PTPRN;SFRP2;SOX11;BICC1;ST8SIA2;ADAMTS12;NOG;ADAMTS2
