geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0032496	response to lipopolysaccharide	http://amigo.geneontology.org/amigo/term/GO:0032496	109	5	0.433830845771144	11.5252293577982	4.60191344593408e-05	0.137778376755744	356;3458;3620;3627;6373	IFNG;FASLG;IDO1;CXCL10;CXCL11
GO:0002237	response to molecule of bacterial origin	http://amigo.geneontology.org/amigo/term/GO:0002237	112	5	0.445771144278607	11.2165178571429	5.24770050488454e-05	0.137778376755744	356;3458;3620;3627;6373	IFNG;FASLG;IDO1;CXCL10;CXCL11
GO:0071887	leukocyte apoptotic process	http://amigo.geneontology.org/amigo/term/GO:0071887	30	3	0.119402985074627	25.125	0.000196789777809458	0.25285179166808	356;3458;3620	IFNG;FASLG;IDO1
GO:1901343	negative regulation of vasculature development	http://amigo.geneontology.org/amigo/term/GO:1901343	32	3	0.127363184079602	23.5546875	0.000239246382282676	0.25285179166808	356;3458;3627	IFNG;FASLG;CXCL10
GO:0006925	inflammatory cell apoptotic process	http://amigo.geneontology.org/amigo/term/GO:0006925	7	2	0.0278606965174129	71.7857142857143	0.000308345489170803	0.25285179166808	356;3458	IFNG;FASLG
GO:0009617	response to bacterium	http://amigo.geneontology.org/amigo/term/GO:0009617	164	5	0.65273631840796	7.66006097560976	0.000322144905932742	0.25285179166808	356;3458;3620;3627;6373	IFNG;FASLG;IDO1;CXCL10;CXCL11
GO:0030595	leukocyte chemotaxis	http://amigo.geneontology.org/amigo/term/GO:0030595	91	4	0.362189054726368	11.043956043956	0.000363189941578801	0.25285179166808	3458;3627;6373;284340	CXCL17;IFNG;CXCL10;CXCL11
GO:0043949	regulation of cAMP-mediated signaling	http://amigo.geneontology.org/amigo/term/GO:0043949	8	2	0.0318407960199005	62.8125	0.00041017282160416	0.25285179166808	3627;6373	CXCL10;CXCL11
GO:0002690	positive regulation of leukocyte chemotaxis	http://amigo.geneontology.org/amigo/term/GO:0002690	39	3	0.155223880597015	19.3269230769231	0.00043337766616125	0.25285179166808	3627;6373;284340	CXCL17;CXCL10;CXCL11
GO:0090026	positive regulation of monocyte chemotaxis	http://amigo.geneontology.org/amigo/term/GO:0090026	9	2	0.0358208955223881	55.8333333333333	0.000526140824757326	0.255666617841816	3627;284340	CXCL17;CXCL10
