Name,Website,Category,Billing Country
Central 1,http://central1.com/,Financial Services,Canada
ad agents GmbH Hamburg - Germany,http://ad-agents.com/,Financial Services,Germany
ad tech | iMedia,http://ad-tech.com/,Other,
AddRev,http://addrev.com/,Retail,United States
Adotmob,http://adotmob.com/,Other,France
BBC Advertising,http://advertising.bbcworldwide.com/,Other,United Kingdom
adyard GmbH - Germany,http://adyard.de/,Other,Germany
airG,http://airg.com/,Other,Canada
All Star Products Group,http://allstarmg.com/,CPG,United States
AlmondNet,http://almondnet.com/,Other,
antwerpes ag,http://antwerpes.de/,Other,Germany
Apartments.com,http://apartments.com/,Other,United States
Archer&gt;malmo,http://archermalmo.com/,Other,United States
As Seen On TV Products,http://asseenontv.com/,Retail,United States
Assurant Health,http://assuranthealth.com/,Financial Services,United States
Astrology Answers,http://astrologyanswers.com/,,
AURUM SPAIN,http://aurum.is/,Retail,Spain
BenQ - Germany,http://benq.de/,Retail,Germany
BeFactory and BeRepublic,http://berepublic.es/,Other,Spain
Best Friends For Frosting,http://bestfriendsforfrosting.com/,Other,United States
GOGII Inc.,http://beta.gogii.com/,Other,United States
Betvictor - Germany,http://betvictor.com/,Other,Germany
Brand Networks,http://bn.co/,Other,United States
Boston Herald,http://bostonherald.com/,Other,
Bridgestone Deutschland GmbH - Germany,http://bridgestone.de/,Auto,Germany
Broad Street Interactive,http://broadstreetco.com/,Other,United States
Buzzstarter,http://buzzstarter.com/,Retail,United States
Cramer-Krasselt - Chicago,http://c-k.com/,Other,United States
Carmichael Lynch,http://carmichaellynch.com/,Other,United States
Catalyst SF,http://catalystsf.com/,Other,United States
CDM - Germany,http://cdmsmith.com/,Other,Germany
Cedar Sinai,http://cedars-sinai.edu/,Other,United States
CH Distillery,http://chdistillery.com/,CPG,United States
comdirect bank Aktiengesellschaft - Germany,http://COMDIRECT.DE/,Financial Services,Germany
Comparis.ch - Germany,http://Comparis.ch/,Auto,Germany
KB ConnectedMedia GmbH - Germany,http://connectedmedia.eu/,Other,Germany
Covestor,http://covestor.com/,Financial Services,United States
Cursos Extranjeros,http://cursoextranjeros.uma.es/,Other,Spain
Danone Waters - Volvic - France,http://danone.com/,CPG,France
mysurvey.com - Germany,http://de.mysurvey.com/,Other,Germany
Plan.net - Hamburg,http://de.plan-net.com/,Other,Germany
sMeet Communications GmbH - Germany,http://de.smeet.com/,Other,Germany
Vente Privee - Germany,http://de.vente-privee.com/,Retail,Germany
