_ - uri,_ - rank,_ - name,_ - country,_ - profits,_ - marketValue,_ - ceo,_ - revenue,_ - headquarters,_ - industry,_ - state
3m,200,3M,United States,4833,102175,Inge Thulin,30274,Minnesota,Conglomerates,Minnesota
3i-group,1562,3i Group,United Kingdom,925,6685,Simon Borrows,485,United Kingdom,Investment Services,
77-bank,1644,77 Bank,Japan,164.5,1417,Hiroshi Kamata,853,Japan,Regional Banks,
aac-technologies-holdings,1646,AAC Technologies Holdings,China,493.3,8826,Benjamin Zhengmin Pan,1864,China,,
abb,225,ABB,Switzerland,1921.4,48059,Ulrich Spiesshofer,35529,Switzerland,Conglomerates,
aecom-technology,1426,AECOM Technology,United States,-36.2,4746,Michael Burke,18077,California,Construction Services,California
aes,885,AES,United States,306,7376,Andrés Weilert,14942,Virginia,Electric Utilities,Virginia
agl-energy,1442,AGL Energy,Australia,-404.5,9524,Andrew Vesey,8326,Australia,Electric Utilities,
agl-resources,1575,AGL Resources,United States,353,7835,Andrew Evans,3934,Georgia,Natural Gas Utilities,Georgia
aia-group,126,AIA Group,Hong Kong,2691.3,72696,Mark Tucker,23652,Hong Kong,Life & Health Insurance,
alfa,1061,ALFA,Mexico,237.9,9374,Armando Sada,16261,Mexico,Conglomerates,
amp,510,AMP,Australia,729.4,13147,Craig Meller,10309,Australia,Investment Services,
anz,84,ANZ,Australia,5866.8,54888,Shayne Elliott,31099,Australia,Major Banks,
arm-holdings,1300,ARM Holdings,United Kingdom,521.4,18979,Simon Segars,1532,United Kingdom,Semiconductors,
asml-holding,579,ASML Holding,Netherlands,1795.9,41325,Peter Wennink,6972,Netherlands,Semiconductors,
att,12,AT&T,United States,13244,234177,Randall Stephenson,146801,Texas,Telecommunications services,Texas
atos,1023,ATOS,France,450.4,8997,Thierry Breton,11849,France,Computer Services,
au-optronics,1625,AU Optronics,Taiwan,155.3,2949,Shuang Peng,11348,Taiwan,Electronics,
avic-capita,1347,AVIC Capita,China,367.9,8087,Hui Gu,1323,China,,
axa-group,26,AXA Group,France,5890.6,61857,Henri De Castries,129808,France,Diversified Insurance,
aareal-bank,1381,Aareal Bank,Germany,389.2,2121,Hermann Merkens,1448,Germany,Thrifts & Mortgage Finance,
abbvie,158,AbbVie,United States,5117,99361,Richard Gonzalez,22859,Illinois,Pharmaceuticals,Illinois
abbott-laboratories,235,Abbott Laboratories,United States,2411,64940,Miles White,20393,Illinois,Pharmaceuticals,Illinois
abertis,1144,Abertis,Spain,-916.3,15032,Francisco Massanet,4854,Spain,Other Transportation,
aboitiz-equity-ventures,1955,Aboitiz Equity Ventures,Philippines,388.3,7739,Erramon Aboitiz,2444,Philippines,Conglomerates,
abu-dhabi-commercial,761,Abu Dhabi Commercial Bank,United Arab Emirates,1305.6,10979,Ala'A Khalil Eraiqat,2783,United Arab Emirates,Regional Banks,
abu-dhabi-islamic-bank,1567,Abu Dhabi Islamic Bank,United Arab Emirates,433.5,3760,Tirad Mahmoud,1572,United Arab Emirates,Regional Banks,
accenture,289,Accenture,Ireland,3676.7,71551,Pierre Nanterme,33503,Ireland,Computer Services,
acciona,1682,Acciona,Spain,229.6,4345,José Entrecanales Domecq,7257,Spain,Construction Services,
accor,1588,Accor,France,229.6,10793,Sébastien Bazin,6189,France,Hotels & Motels,
actelion,1272,Actelion,Switzerland,586.8,17947,Jean-Paul Clozel,2178,Switzerland,Pharmaceuticals,
activision-blizzard,842,Activision Blizzard,United States,880,25468,Robert Kotick,4578,California,Recreational Products,California
adani-enterprises,1993,Adani Enterprises,India,251.1,1358,Rajesh Adani,10566,India,Trading Companies,
adecco,1071,Adecco,Switzerland,8.9,11533,Alain Dehaze,24402,Switzerland,Business & Personal Services,
adidas,577,Adidas,Germany,738.5,25198,Herbert Hainer,18757,Germany,Apparel/Accessories,
admiral-group,1796,Admiral Group plc,United Kingdom,458.3,7583,Henry Allan Engelhardt,1375,United Kingdom,Property & Casualty Insurance,
adobe-systems,837,Adobe Systems,United States,799,47415,Shantanu Narayen,5035,California,Software & Programming,California
advance-auto-parts,1066,Advance Auto Parts,United States,471.7,11648,Thomas Greco,9737,Virginia,Specialty Stores,Virginia
advanced-info-service,1104,Advanced Info Service,Thailand,1142.4,13092,Somchai Lertsutiwong,4531,Thailand,Telecommunications services,
advanced-semiconductor,1050,Advanced Semiconductor,Taiwan,613.4,8280,Chien Chang,8922,Taiwan,Semiconductors,
aegon,343,Aegon,Netherlands,687.1,13000,Alexander Wynaendts,32983,Netherlands,Diversified Insurance,
aena,881,Aena,Spain,924.3,20132,José Vargas Gómez,3827,Spain,Other Transportation,
aeon,626,Aeon,Japan,49.8,12979,Motoya Okada,59968,Japan,Food Retail,
aercap-holdings,763,AerCap Holdings,Netherlands,1178.7,8300,Aengus Kelly,5482,Netherlands,Other Transportation,
aeroports-de-paris,1360,Aeroports de Paris,France,476.8,11974,Augustin de Beaune,3234,France,Other Transportation,
aetna,168,Aetna,United States,2390.2,40248,Mark Bertolini,60368,Connecticut,Managed Health Care,Connecticut
affiliated-managers-group,1566,Affiliated Managers Group,United States,516,9600,Sean Healey,2493,Massachusetts,Investment Services,Massachusetts
aflac,204,Aflac,United States,2533,28461,Dan Amos,21036,Georgia,Life & Health Insurance,Georgia
ageas,511,Ageas,Netherlands,854.1,8768,Bart De Smet,13382,Netherlands,Diversified Insurance,
agile-property-holdings,1690,Agile Property Holdings,Hong Kong,250.6,2242,Zhuo Chen,6831,Hong Kong,Real Estate,
agilent-technologies,1464,Agilent Technologies,United States,449,13701,Michael Mcmullen,4040,California,Electronics,California
agricultural-bank-of-china,3,Agricultural Bank of China,China,28808.7,152736,Ying Che,131888,China,Regional Banks,
agrium,648,Agrium,Canada,972.5,11920,Charles Magro,14600,Canada,Specialized Chemicals,
ahli-united-bank,1361,Ahli United Bank,Bahrain,523.5,4166,Adel Shafe El-Labban,1439,Bahrain,Regional Banks,
air-canada,1910,Air Canada,Canada,236.8,1849,Calin Rovinescu,10840,Canada,Airline,
air-france-klm,1109,Air France-KLM,France,130.9,2682,Alexandre Juniac,28897,France,Airline,
air-liquide,313,Air Liquide,France,1947.7,40464,Benoît Potier,18164,France,Specialized Chemicals,
air-products-chemicals,540,Air Products & Chemicals,United States,1316.9,31942,Seifollah Ghasemi,9690,,Specialized Chemicals,
